TimeStamp,Code
4466.1396,ext_1
4490.2975,ext_1
4513.0336,ext_1
4537.0307,ext_0
4555.2399,ext_1
4573.6519,ext_1
4592.4345,ext_0
4608.1393,ext_1
4630.0534,ext_1
4648.6365,ext_1
4669.7395,ext_1
4690.7376,ext_0
4710.6427,ext_0
4728.35,ext_1
4749.0155,ext_1
4771.3434,ext_1
4794.2419,ext_1
4815.4382,ext_1
4837.342,ext_0
4854.4441,ext_1
4873.4431,ext_1
4893.8138,ext_1
4913.2443,ext_1
4931.5414,ext_1
4948.843,ext_1
4996.1397,ext_1
5014.8423,ext_1
5036.2453,ext_1
5063.1424,ext_1
5083.5417,ext_1
5104.5411,ext_1
5125.9478,ext_1
5148.0442,ext_1
5168.3432,ext_0
5187.4482,ext_1
5205.2457,ext_1
5231.2364,ext_1
5251.4494,ext_1
5303.3469,ext_0
5320.2147,ext_0
5344.4029,ext_0
5362.7464,ext_0
5385.038,ext_0
5408.0505,ext_0
5421.3311,ext_1
5439.6505,ext_1
5459.1512,ext_1
5476.147,ext_0
5498.3466,ext_0
5520.352,ext_1
