Session,Behavioral_Hits,Hit_Rate_%,LR_Test_Acc_%,RF_Test_Acc_%,LR_CV_Acc_%,RF_CV_Acc_%,LR_F1,RF_F1,Winner,Improvement_%,Environmental
50-1,36.0,72.0,60.0,50.0,52.0,75.0,0.6,0.5151515151515151,LR,9.999999999999998,Good quality
50-2,35.0,70.0,90.0,90.0,42.00000000000001,65.0,0.9333333333333333,0.8933333333333333,Tie,0.0,Good quality
50-3,34.0,68.0,40.0,70.0,52.0,65.0,0.5714285714285714,0.5764705882352941,RF,29.999999999999993,Good quality
50-4,31.0,62.0,60.0,60.0,62.0,57.49999999999999,0.7142857142857143,0.5619047619047619,Tie,0.0,Good quality
50-5,38.0,76.0,80.0,80.0,60.0,70.0,0.875,0.711111111111111,Tie,0.0,Optimal quality - impedance 12-20 kΩ
50-6,33.0,66.0,60.0,80.0,55.99999999999999,72.5,0.7142857142857143,0.7625,RF,20.000000000000007,Good quality
50-7,34.0,68.0,60.0,80.0,54.0,65.0,0.7142857142857143,0.7625,RF,20.000000000000007,Good quality
50-8,29.0,57.99999999999999,40.0,30.0,50.0,60.0,0.4,0.30707070707070705,LR,10.000000000000004,Sunlight interference
50-9,26.0,52.0,60.0,70.0,52.0,47.5,0.6666666666666666,0.696969696969697,RF,9.999999999999998,Participant hunger
50-10,25.0,50.0,30.0,50.0,54.0,62.5,0.36363636363636365,0.45054945054945056,RF,20.0,Participant hunger
MEAN,32.1,64.2,58.0,66.0,53.4,64.0,0.6552922077922078,0.6237561164325871,RF,12.0,All sessions
