session,lr_test_acc,rf_test_acc,lr_cv,rf_cv,lr_f1,rf_f1,cnn_test_acc,cnn_cv,cnn_f1
50-1,0.6,0.5,0.52,0.75,0.6,0.5151515151515151,0.7,0.360000005364418,0.0
50-2,0.9,0.9,0.42000000000000004,0.65,0.9333333333333333,0.8933333333333333,0.7,0.5399999976158142,0.0
50-3,0.4,0.7,0.52,0.65,0.5714285714285714,0.5764705882352941,0.3,0.32000001072883605,0.46153846153846156
50-4,0.6,0.6,0.62,0.575,0.7142857142857143,0.5619047619047619,0.6,0.5999999940395355,0.0
50-5,0.8,0.8,0.6,0.7,0.875,0.711111111111111,0.8,0.7600000023841857,0.0
50-6,0.6,0.8,0.5599999999999999,0.725,0.7142857142857143,0.7625,0.7,0.6799999952316285,0.0
50-7,0.6,0.8,0.54,0.65,0.7142857142857143,0.7625,0.7,0.5600000023841858,0.0
50-8,0.4,0.3,0.5,0.6,0.4,0.30707070707070705,0.6,0.5600000083446502,0.0
50-9,0.6,0.7,0.52,0.475,0.6666666666666666,0.696969696969697,0.5,0.5399999976158142,0.6666666666666666
50-10,0.3,0.5,0.54,0.625,0.36363636363636365,0.45054945054945056,0.5,0.5,0.0
